ID	mean_age	negative_experience	education	east.asian.time.in.us	cultural_intelligence	emotional.intelligence	IQ	extroversion	openness	profit.diff	profit.joint
39	29	no	Graduate	48	4.45	3.01515151515151	0.095957840884828	3	3.2	220	1400
40	21	no	Undergraduate	NA	5.225	3.828125	1.50397862911577	3.85	4.25	20	1480
43	29	no	Graduate	60	5.125	3.78787878787879	0.017092749936892	3.8	3.7	20	1240
44	26	no	Graduate	48	5.875	3.79971590909091	1.03417366616766	3.8	4.1	360	1400
45	21	yes	Undergraduate	44	4.95	4.22727272727272	0.607585190983342	2.63888888888889	4.15	120	1480
46	21	no	Undergraduate	48	4.8	3.51515151515151	0.857922132373028	2.45	3.35	0	1320
48	20.5	no	Undergraduate	46	5.425	4.03030303030303	-0.36627923748365	3.3	4.2	120	1240
49	25.5	no	Graduate	NA	5.2	3.96969696969697	0.559589019866674	2.65	3.45	20	1480
50	23	yes	Graduate	15	5.775	4.24242424242424	1.21799308454192	4.05	4	120	1240
51	25	yes	Graduate	36	4.725	3.57575757575758	-0.61661617887334	2.9	3.7	140	1400
52	19.5	no	Undergraduate	35	5.45	3.81060606060606	-0.403321941281176	4.1	4.2	0	1160
53	30	yes	Graduate	48	4.85	3.87878787878788	0.102131624851082	3	3.8	120	1480
54	27.5	yes	Graduate	14	4.4	3.45454545454545	-0.531577303959147	2.5	3	0	1320
55	20	no	Undergraduate	36	5.1	3.36363636363637	0.017092749936892	2.65	3.7	0	1480
56	25	no	Graduate	2	5.07763157894737	3.81818181818182	-0.921123075345942	3.25	3.45	100	1320
57	26.5	yes	Graduate	49	5.63815789473684	3.87878787878788	-0.397148157314924	2.6	3.5	100	1320
58	25.5	no	Graduate	48	4.825	3.18181818181818	0.565762803832931	2.75	3.4	40	1480
59	28	yes	Graduate	26	5.51447368421053	4.24242424242424	-0.628963746805846	4	4.15	320	1400
60	33.5	yes	Graduate	58	4.775	3.1969696969697	1.2906843915236	2.25	3.95	20	1320
62	26.5	yes	Graduate	14	5.525	4.04545454545455	0.315425862443244	3.15	4.4	240	1160
63	21	no	Undergraduate	48	5.325	3.64204545454546	0.456028793053721	3.45	3.55	240	1400
64	24	no	Undergraduate	NA	5.325	3.89393939393939	-0.550098655857909	2.95	3.5	460	1320
65	26	no	Graduate	26	4.55	3.72727272727273	0.358642350207024	3.6	4	240	1320
66	20.5	no	Undergraduate	3	4.67105263157895	3.73030303030303	-0.305935498434477	2.9	3.55	0	1160
68	26	yes	Graduate	53	5.175	4.01515151515151	-0.726350189652548	3.3	4.15	40	1240
69	26	no	Graduate	31	4.5	3.77272727272727	-0.738697757585054	2.7	3.65	120	1240
70	18.5	no	Undergraduate	48	4.75	3.81818181818181	-0.945818211210963	3.05	3.7	20	1240
71	33.5	no	Graduate	17	4.775	3.77272727272728	0.638454110814612	3	3.9	0	1480
72	20.5	no	Undergraduate	3	5.4	3.81297348484849	0.187170499765275	3.1	3.3	100	1480
73	19.5	no	Undergraduate	48	4.425	3.6969696969697	-0.428017077146194	2.95	3.25	0	1320
74	18	no	Undergraduate	60	5.525	4.21212121212121	-0.836084200431755	4.05	4.15	0	1160
75	21.5	no	Undergraduate	60	4.225	3.16666666666667	0.248908339427814	3.15	3.35	0	1320
