"Dyad ID","Thought Unit","Speaker","ANNOTATION"
2,91,Wine,There is no interest in quality.,MIN
2,92,Wine,So I think we can negotiate a little bit more about this.,PO
2,93,Wine,This is not a very key issue about this.,MIN
2,94,Wine,"I think the quality then the price that?s always the very,most important.",MIN
2,95,Wine,So let?s talk about other things and come back to that.,PM
2,96,Grocery,"Grand opening day,how are you feeling about that?",QP
2,97,Wine,"Well,since I?m ready for business.",SBR
2,98,Wine,"So,I just want after a couple I want to start business.",IP
2,99,Wine,What about you?,QP
2,100,Grocery,"Well,we, since we really pride ourselves on service. We really want a lot of time to be able to set up,",SBR
2,101,Grocery,"to,to, hire people,",SBR
2,102,Grocery,select the right customer service orientated people and train them really well.,SBR
2,103,Grocery,So we really are hoping for September 1.  ,IP
2,104,Wine,Oh my god.,RN
2,105,Grocery,I know.,MIN
2,106,Wine,That?s really late.,RN
2,107,Grocery,"And I?m,And I?m sure you, you wanna get in there and start.",IN-N
2,108,Wine,"Yeah,You know It?s almost half a year past till September 1rst.",SBR
2,109,Grocery,"Yes,It?s a while I know.",IN-N
2,110,Wine,"Actually,well I think, do you think you really need, is that necessary for you to like to train, to spend that much amount of money to do all this thing.",QS
2,111,Grocery,"Well,its just that we really want a quality operation.",SBR
2,112,Grocery,And I feel like if we get off on the wrong foot.,SBR
2,113,Grocery,You know you start and?,MIN
2,114,Wine,But your not worried about losing business during this whole half-a-year?,QM
2,115,Grocery,"No that?s not really,not a concern.",SBR
2,116,Grocery,Because we got our other shop running right now. And so we?ll have to do a transition over.,SBR
2,117,Grocery,"So its,its, September 1, is really ideal.",IP
2,118,Wine,Okay?okay?you have to?you won?t do any harm. If you have lots of other stores is there anyelse.,SBR
2,119,Wine,"You can just copy those systems already and use any innovation you want,you want train this new store to have something new?",SBR
2,120,Wine,"If you just want to keep your business,why didn?t you pick to copy the old system.",SBR
2,121,Grocery,"Well actually,were going, were going to bring the whole operation over.",SBR
2,122,Grocery,"But,for whatever reason we can?t bring our employees.",SBR
2,123,Grocery,So we really need to hire new employees and train them.,SBR
2,124,Grocery,I think because the commute is going to be too difficult.,SBR
2,125,Grocery,"So we?ll have to,the people, we?ll have to hire new people at this location.",SBR
2,126,Wine,"So?what do you think if you,took some of the, part of your employees, to the new place and to train.",SBR
2,127,Wine,"Well you can have them train in the first very beginning and then you have some old people with the new people,that will be, that will be very helpful.",SBR
2,128,Wine,And that will be?,MIN
2,129,Grocery,Maybe.,MIN
2,130,Grocery," We might be able to,we might be able to negotiate a little bit.",PC
2,131,Grocery,Just?,MIN
2,132,Wine,"Yeah. Because I think the later we start,the less business we have?",SBR
2,133,Wine,"So we were thinking,Yeah I know your, your, worrying about the quality of your service but you also should consider your business.",SBR
2,134,Wine,"Half a year,it?s, it?s, it?s, a lot.",SBR
2,135,Grocery,So sounds like that?s kind of a sticking point for us now too.,ID-N
2,136,Grocery,What about renovation costs?,QP
2,137,Wine,Renovation costs?,QM
2,138,Wine,"Because this is an alcohol store,so I really don?t care about how much I?m going to pay, I just want the best looking of the stores.",SBR
2,139,Wine,So the much I pay the more I feel better.,SBR
2,140,Wine,"We?re going to pay all,so I think 30,000, 30,000 dollars is great.",IP
2,141,Grocery,"So were,I think the new place already looks pretty good, we?re pretty happy with how it is.",SBR
2,142,Grocery,"So,were, you know, were trying to keep costs low?you know as much as possible.",SBR
2,143,Grocery,"So we were,we were, shooting for 10,000 dollars.",IP
2,144,Wine,"10,000 dollars.",MIN
2,145,Wine,Do you think that if your store like appears decent outside the present it will be more attractive to customers and they will be more willing to go into it and buy things.,SBR
2,146,Grocery,I think so.,MIN
2,147,Grocery,"But,also like I said, I am pretty happy with the condition.",SBR
2,148,Grocery,I feel like it looks pretty good already.,SBR
2,149,Grocery,And I am happy with how it looks now. ,SBR
2,150,Wine,Okay?So?,MIN
2,151,Grocery,"Yeah,that?s an area we can negotiate on,",MIN
2,152,Grocery,I think that if you could give some on maybe the hours or grand opening date. I think that we could give some on the renovation.,PP
2,153,Wine,"Yeah,The thing that I do to want to insist is the temperature because this would have no harm to your product quality and is very important to the product, to the quality of my product.",SBR
2,154,Wine,So I do really want to insist on this item.,IR
2,155,Wine," If you could give up other things that those,then I will really appreciate. Then I can give up the, my renovation thing.",PP
2,156,Grocery,"Well,I can give some on the temperature but, the, I could also give some on the renonvation.",PP
2,157,Grocery,"The hours are going to more long lasting and I,you know, and that is more important to me, and the grand opening date is more important to me.",IR
2,158,Grocery,But?the temperature we can work with you on that and the renovation cost.,PP
2,159,Grocery,Do you think you could?do you think you could go 8:30 on hours of operation? 8:30-8:30?,OS
2,160,Grocery,I think that 8:30 is the lastest we can really start.,IB
2,161,Grocery,Because?,MIN
2,162,Wine,So I we can start with the easiest one?s first and leave the hard for last.,PO
2,163,Wine," So I think temperature is maybe the easiest one?s first,we?ll solve this problem soon.",PO
2,164,Wine,So temperature and the renovation?,MIN
2,165,Grocery,So if we give the?,MIN
2,166,Grocery,"grand opening and hours are very important to you,",IN-N
2,167,Grocery,then we might want to make sure that we?I don?t want to leave two tough issues for last.,PO
2,168,Wine,Okay?Okay,MIN
2,169,Grocery,"You know,we?re going to be working with each other for a long time.",MU
2,170,Grocery," And I want to make sure we?re both happy with,I think, what we come out with.",MIC
2,171,Grocery,You don?t want to start off on the wrong foot here.,MIN
2,172,Wine,That?s right.,MIC
2,173,Wine,And?,MIN
2,174,Grocery," I think,let?s see?.for renovation?what do you think about?25,000 thousand?",OS
2,175,Wine,"Well,I think it?s, I can accept this.",RP
2,176,Wine," 25,000 is a lot of money.  ",SBR
2,177,Grocery,"Let?s see what we think,hold that?And",MIN
2,178,Wine,"So could you like,give me the 25 thousand here,  And the 65.",OM
2,179,Grocery,"If I could get the grand opening date Septermber 1rst,I would be happy to go to 65 degrees.",OM
2,180,Wine,"Well,Septermber 1st is definitely not going to happen.",RN
2,181,Grocery,"What do you,what do you think is the most you can?the latest you can go?",QP
2,182,Wine,"The latest for me I think is,July, July 1rst.",IP
2,183,Wine,"Know what?I?m thinking in the summertime people tend to go out more and to do more outdoor activities. So they might want to do,they will have more time standing outside of their home like, doing grocieres, buying shopping, going shopping and getting alcohol and whatever.",SBR
2,184,Wine,"So I think that if it?s near September,were going to winter, they will be only less likely to go out to have outdoor activities and more likely to spend time at their homes.",SBR
2,185,Wine,So I think that?in that case? keeping business in the summertime is an important issue.,SBR
2,186,Wine,"Although you say your training stuff is more important,but I do think that keeping business in the summer,  business is better than business in the winter.",SBR
2,187,Grocery,"Let?s hold that as a possibility,the delay.",PM
2,188,Grocery," And hold the 25,000 dollars as a possibility for the renovation costs.",PM
2,189,Grocery," I mean were both happy with the floor space so that?s done,so that?s done..",PO
2,190,Wine,Great.,MIN
2,191,Wine,That?s done.,MIN
2,192,Grocery,Uh?The hours of operations.,P1
2,193,Grocery,"To?If we go past 8:30,I think were just going to miss all the breakfast, you know all the people, going into work grabbing a muffin and coffee. I think if we go past that it?s going to?uh?",SBR
2,194,Wine,"But I think that if it?s earlier then 8:30,then no business will happen for the ?alcohol?",SBR
2,195,Grocery,"I mean ,it?s a, it?s a fairly residential neighborhood.",SBR
2,196,Grocery," It?s,it?s not going to be a late night operation, I don?t think.",SBR
2,197,Grocery,"I think 8:00,8:30 is pretty good.",OS
2,198,Grocery,Especially when you think about winter time people are not going to be out and about that late.,SBR
2,199,Grocery,"And for a grocerystore/wine shop,it seems to me that 8:30 is pretty, pretty  reasonable.",SBR
2,200,Grocery,People are still going to know that it?s there.,SBR
2,201,Grocery,"Anything that they want to buy to make dinner that night they can,they?ll definitely be there before 8:30 and even after dinner they can still buy it.",SBR
2,202,Wine,"So you want to give me the 65 degrees and I ,I think I can give you the 8:30 schedule. Is that okay with you?",OM
2,203,Grocery,The 8:30?,QM
2,204,Wine,Yeah.,MIN
2,205,Wine,The temperature thing.,MIN
2,206,Grocery,"Yeah,I think I could do that.",RP
2,207,Grocery," Okay,let?s see.",MIN
2,208,Wine,Then the only thing left?is?the renovation and grand opening?,PO
2,209,Grocery,Right?,MIN
2,210,Wine,"Well,Actually, okay?",MIN
2,211,Grocery,"Do you think,um let?s see, do you think if we for the renovation, I could even maybe go 30 if you could see your way to August 1st opening. ",OM
2,212,Wine,"Okay,Okay.",RP
2,213,Grocery,Let me take a look at it all again.,MIN
2,214,Wine,"Our operation is from 8:30 to 8:30 and our renovation costs is 30,000,floor space is 40% and?",MIN
2,215,Grocery,60% for me.,MIN
2,216,Wine,And temperature is 65 degrees. And grand opening date is August 1rst.,MIN
2,217,Wine,Okay then were set.,MIN
2,218,Grocery,"I mean,I am a little hesistant because I really like September 1rst.",IP
2,219,Wine,Oh yeah?,QM
2,220,Wine,"That?s only one month and you can have your own staff to train,to train,  your new staff.",SBR
2,221,Wine,"And most of the time I think,without actually doing with certain people, you can not really grasp more skills.",SBR
2,222,Wine,And theres a different from real training and real actually doing the things.,SBR
2,223,Wine,"So,I think that?s its wiser for you to just keep that month for that real train on duty.",SBR
2,224,Wine,They can learn something from that.,SBR
2,225,Wine,"It?s not my issue?Actually,I was worrying about hours of operation.",P1
2,226,Wine,I know that really it?s not open that late and people tend to use alcohol at late at 9.,SBR
2,227,Wine,I was kind of wondering about that.,MIN
2,228,Grocery,"Well?if you wanted to go 9:30,I could go September 1rst.",OM
2,229,Wine,Yeah that would be perfect.,RP
2,230,Grocery:,That will work for you?,QM
2,231,Wine:,"Yeah,that?s better.",MIN
2,232,Wine:,Okay.,MIN
2,233,Grocery,"And?you don?t wanna go back up to 25 for the renovation cost do you,cause that, that would help me out a little bit.",OM
2,234,Wine,Um?well?I think that would make money after this.,SBR
2,235,Wine,I don?t think that?s really a big issue.,SBR
2,236,Wine,Just one time spent.,SBR
2,237,Grocery,Yeah were finished.,MIN
3,0,Group 03
3,1,Name of Coder: Pooja
3,2,Date:4/12/06
3,3,Grocery,"Hi,my name is Bo /and I?d like to cooperate with you about the new grocery store.",MIC/MIC
3,4,Grocery," I guess we have several problems to discuss with,like the hours of operation, the renovation; I guess we have the same issues to talk about.",MIC
3,5,Grocery,What do you prefer for the hours of operation?,QP
3,6,Wine,"Well,because my store is a wine store,/ we really need to have the hours open a little bit later",SBR/ IP
3,7,Wine,"because people are typically bringing in,coming in to get wine a little bit later for their dinners, or for parties.",SBR
3,8,Wine,"So,we?re hoping to stay, to open a little bit later, and close a little bit later, /so that people can, our customers can come in and buy. ",IP/ SBR
3,9,Wine,What I was hoping was to open around 10:30 and close around 10:30 at night.,IP
3,10,Wine,I know you?re a bread store so you probably have different needs.,IN-P
3,11,Grocery,"Yeah,it?s a little bit, like,  inconvenient for me",RN
3,12,Grocery," because the type of grocery store we sell bread,coffee, which is the breakfast issue.",SBR
3,13,Grocery,"So,well the, the best thing I was hoping is as early as possible like 6am, 6:30 in the morning",IP
3,14,Grocery," and I?m trying to see if we can get some agreement,like, if I open a little bit later and you move the schedule a little bit earlier, so we could be better ?so?",PC
3,15,Wine,"Yeah,I can see why you want to open early because people will be coming in to get breakfast things, and",IN-P
3,16,Grocery,"Otherwise,I wouldn?t have any profit for that.",SBR
3,17,Wine,Right.,MIN
3,18,Wine,"Yeah,I can see how that would be bad.",IN-P
3,19,Wine,"Well since we have to open and shut at the same time,let?s try to see?",MIC
3,20,Wine,you said what time did you want to open?,QP
3,21,Grocery,6:30 to 6:30pm.,IP
3,22,Wine,"Okay,so for me, opening up a little bit earlier wouldn?t hurt my business at all. Although, because I wouldn?t have, I wouldn?t be getting customers.",SBR
3,23,Wine,But closing down early like at 6:30 for my business would be terrible,SBR
3,24,Wine,because then everyone who is coming to get wine for dinners after work would not be served.,SBR
3,25,Grocery,"What is the latest,like the slot you could, I mean, the earliest closing time that you could get?",QP
3,26,Wine,"I think,I?d really like to stay open if not to 10:30, till 9:30/ so that people who are on their way to a party can pick up their wine on their way.",IP/ SBR
3,27,Grocery,When do you prefer to open then?,QP
3,28,Wine,9:30? Would that be okay?,OS
3,29,Grocery,I guess that?s a little bit too late for me.,IP
3,30,Grocery,How about we skip this issue and move on to the rest and then go back to the first one?,PM
3,31,Wine,Okay.,MIN
3,32,Wine,What time would you be willing to close for the hours of operation just to get a sense of?if not 6:30 then?,QP
3,33,Grocery,Like 7:30 would be fine/ ?cause most of work is like 12 hours per day and 7:30 is still tolerable to me just on the breakfast.,IP/SBR
3,34,Grocery,But like 8:30 is maybe a little bit too late,IP
3,35,Grocery,",like, everybody is just going to work and nobody is going to buy their breakfast on their way.",SBR
3,36,Wine,"Okay,well let?s think about this one like you said and maybe we can work it out based on some of the other ones as well.",PM
3,37,Wine,"Do you want to talk about,just go on to renovation costs?",P1
3,38,Grocery,Sure.,MIC
3,39,Wine,Why don?t you go ahead and?what is your need for your market?,QP
3,40,Grocery,"Well,I don?t think I?m going to spend too much on renovation",IP
3,41,Grocery,?cause I had done the research and I feel like it?s not a big deal,SBR
3,42,Grocery,"and I prefer to train my employees better that could save money,like, spend less money in the renovation and train my employees with those money that I save.",SBR
3,43,Grocery," So I prefer like,to spend $10,000 on the renovation,",IP
3,44,Grocery,?cause the situation is not that bad for the hardware of the store?/ so what do you think about it?,SBR/ QP
3,45,Wine,"Well unfortunatley for our wine store,we really think we should have an upscale look, and this, the way the place looks is really not the image we?re going for.",SBR
3,46,Wine," So I wanted to spend a lot more money on that to try to attract the customers from other wine stores and give them the impression that this is a fancy,nice place to shop for their wine.",SBR
3,47,Wine,"So I was hoping to really refurbish mostly the whole store and spend about $30,000 on that.",IP
3,48,Grocery,"Oh,I understand.",MIC
3,49,Grocery,"Well,it sounds too much for me,",IP
3,50,Grocery,"like,the general grocery store is just like the plain store, and we just want to make the customers feel convenient so that?s why I want to put money to train my employees to be more qualified instead of, like, have a really fancy space that they probably wouldn?t find what they need.",SBR
3,51,Grocery,"I guess maybe there?s something that we could spend the certain amount of money,reasonable amount of money, make the store, like, match your convenience and my goals too, both on the same way.",PC
3,52,Grocery,"So maybe there?s some way when we really do the renovations,make your parts more impactive, that  keep mine parts, like, plain so we could use the amount of money we spend, still match your goal.",CS
3,53,Grocery,So what do you think about that?,QM
3,54,Wine,"Yeah,I think that we can do that /and especially if we negotiate on the day that we open,",MIC/CS
3,55,Wine,because what I want for opening is to spend more money and getting it open quicker,IP
3,56,Wine,"but if we,maybe if you want to spend a little bit less money, then we can spend a little bit more time, you know, space out our, or make sure that, hire people that are more willing to work a little bit slowly, and spend a little bit less, and open a little bit later if you want. So we don?t spend as much money,",PP
3,57,Wine,because I wanted to spend a lot of money and get it going right away.,SBR
3,58,Grocery,"Yeah sure,if that works, it will be fine.",MIC
3,59,Grocery,"Like,if we make the store open a bit later.",IP
3,60,Wine,"Ideally,I want to open it quickly",IP
3,61,Wine," but,since you don?t want to spend as much money, we could cut costs that way.",SBR
3,62,Wine," And then,open just a little bit later, but be able to spend, you know?",SBR
3,63,Grocery,"Sure,so let?s discuss those two at the same time.",PP
3,64,Wine,Because those two are related.,PP
3,65,Grocery,"Right,when do you want to open it?",QP
3,66,Wine,I wanted to open May 1.,IP
3,67,Wine,But maybe June 1?,OS
3,68,Wine,We could spend a little bit less money and stretch it over a few more months.,SBR
3,69,Grocery,"How could you make that,like, how much you want to spend and open in June?",QS
3,70,Wine,"About $25,000 I think would,we could save about $5000 from where I wanted and?",IP
3,71,Grocery,"It?s a little tough for me /because in that case,I won?t get much profit and?",RN/SB-R
3,72,Wine,When were you going to open?,QP
3,73,Grocery,"September 1,that?s the ideal case.",IP
3,74,Wine,Okay.,MIN
3,75,Grocery,Because I want to give me enough time to train my employees. You know training people takes time.,SBR
3,76,Wine,Oh okay.,MIN
3,77,Wine,Well if not September then?,QP
3,78,Grocery,"How about like,let?s  keep it October, I mean, sorry, August, so I open it earlier and meanwhile I?ll still keep training my employees and you could spend more, I mean, I could spend more money on the renovation costs. So we could get some balance.",PP
3,79,Wine,"Okay,well then if we open in August, maybe, that way I can use my money with the time that we?re not, well with the time that we?re, by not opening in May but if you?re willing to spend $25,000 to start getting it, or renovate it, then I guess that would kind of even it out, even out the costs.",OM
3,80,Wine,So we?ll open a little bit early and you can recuperate some of those costs.,SBR
3,81,Grocery,"Sure,so that means like, I can open it in August and I spend $25,000?",QM
3,82,Wine,"Yeah,how does that sound, that way, I?m kind of losing money but you?re kind of losing money as well.",MIC
3,83,Grocery,"It?s tough for both people but I think I can still afford that,so it?s fine.",RP
3,84,Wine,"Okay,so maybe your market will look a little bit fancier and?",SBR
3,85,Grocery,"Okay,so how about the floor space that you want to keep on your side?",QP
3,86,Wine,"I,let me see, I?m not sure?",MIN
3,87,Grocery,I prefer to keep like 60% of the floor space,IP
3,88,Grocery,"cause I have a lot of stuff to sell and I want to keep the,like, I got some problem like, keeping the renovation, I mean, the maintenance and rent fee,",SBR
3,89,Grocery,so 60% will be good for me.,IP
3,90,Wine,"Okay,so you need 60% of the floor space in order to put enough products out?",IN-N
3,91,Wine,Okay.,MIN
3,92,Wine," And I needed,my calculation showed that I needed about 40% of the floor space.",IP
3,93,Grocery,Really?,QM
3,94,Grocery,Then that?s perfect match.,RP
3,95,Wine,"Yeah,that works out right?",QM
3,96,Wine,So that sounds good.,RP
3,97,Grocery,"And my stuff,like, I don?t really need the cool temperature",IP
3,98,Grocery," so in order to save electricity like air conditioning,/I want to keep the temperature as high as possible, like 73 degrees.",SBR/ IP
3,99,Grocery,What is your?,QP
3,100,Wine,"Well,since I have wine, some of my wines are supposed to be kept at a lower temperature.",SBR
3,101,Wine,"If the temperature goes up higher,then the product can get spoiled.",SBR
3,102,Wine,"What I want ideally is for my customers to know that we have a good product and we don?t,that our product won?t spoil, or turn bad because of the temperature.",SBR
3,103,Wine,So what I really want is to try to keep it cool in this store.,IP
3,104,Wine,"I want to have it at,our ideal temperature is about 65 degrees",IP
3,105,Wine,"to keep it,to keep our products at the right temperature and from spoiling.",SBR
3,106,Grocery,65?,QM
3,107,Grocery," Well,in that case, I?m going to bring myself in trouble.",RN
3,108,Grocery,So let?s see?,MIN
3,109,Wine,But it sounded like you wanted to try to save on electricity by keeping it warmer?,QM
3,110,Wine,To put more value in as much air conditioning?,QM
3,111,Grocery,"Yes,exactly.",MIN
3,112,Grocery,How about this?,QM
3,113,Grocery,"I probably like,if we keep the temperature higher, but I put more money in the renovations, so you could install more like the cooling system, I mean, the refridgerators, those stuff in your part so you can still keep your wines and the alcohols cold, but you don?t have to keep the whole space with the air conditioning costs.",PP
3,114,Wine,Oh I see.,MIN
3,115,Wine,"Well,the thing is I don?t need refridgerators to keep the wine cold.",SBR
3,116,Grocery,You wan to look at the whole system.,QS
3,117,Wine,"Yeah,I don?t want them as cold as a refridgerator would make them. Like, I don?t want to keep them at 50 degrees or 40 degrees.",SBR
3,118,Wine,"But I just want them about,you know, 65 degrees.",IP
3,119,Wine,"So if I intall a refridgerator,it would make all of the wines too cold if I put all of the wine in the refridgerator.",SBR
3,120,Grocery,Let?s see.,MIN
3,121,Grocery,"Well,65 degrees is still like, too cold for me.",IP
3,122,Grocery,"And how about like,and I reduce it to 71 degrees?",OS
3,123,Wine,71?,QM
3,124,Wine,"Well,I guess in terms of the wine, that makes a lot of difference.",RN
3,125,Wine,"Between 71 and 65,that?s 6 degrees, it?s still that, it?s really pushing it for how the product will spoil,",SBR
3,126,Wine,"and plus,are you going to be selling vegetables and cold things as well in your market?",SBR
3,127,Grocery,"I guess probably the main part is the bakeries,the pastries?",SBR
3,128,Wine,"Okay,okay, so you don?t need to keep any of those things very cold.",IN-N
3,129,Grocery,"Right,so I don?t sell very many fresh food. I mean the vegetables.",SBR
3,130,Wine,Oh okay.,MIN
3,131,Wine,"So,well, how about?how about if it?s, I guess if it?s 65 then that?s the best",IP
3,132,Wine,but if it?s a little warmer than that by just a few degrees it won?t matter very much. Especially if the wine is being sold quickly.,SBR
3,133,Wine,"If my product sits in there for months at 71 degrees,then it?s not going to work out.",SBR
3,134,Wine,"But how about if it?s,if we can agree on it being about 67 degrees?",OS
3,135,Grocery,"I understand your difficulties / but considering we?re all businesswoman,so 67 will still like, cost me too much for the air conditioning parts",MIC/ IP
3,136,Grocery,because I really don?t need that parts so it?s a bummer for me.,SBR
3,137,Wine,Don?t you think your customers will get hot in there? When they come and visit your store?,SBR
3,138,Grocery,"Most of them will just do their quick daily grocery shopping,and 71 or 73 will work perfect for them.",SBR
3,139,Wine,Well I have an idea.,MIN
3,140,Wine,"If  I agree to having it a little bit warmer like 69,that would be okay with me as long as I can make sure that the wine gets moving. Like I sell it at the appropriate hours.",PP
3,141,Grocery,You know what?,MIN
3,142,Grocery,"Actually,if we open the store earlier, the temperature wouldn?t be that high naturally",SBR
3,143,Grocery,so how about like we open it at 7:30 to 7pm?,,And maybe keep the air conditioning working at 69 degrees?,OM
3,144,Grocery,"So in earlier time,the temperature wouldn?t rise high too much and it will reduce the cost of the air conditioning, naturally. Save energy naturally.",SBR
3,145,Wine,That?s a good point.,MIC
3,146,Wine,"What I think?maybe we should?still 7:30 for me is closing a little bit early,",IP
3,147,Wine,I think for people who want to watch and come and buy wine after work for dinner or party.,SBR
3,148,Wine," Just so that you know,if you ever try to go buy wine, usually, you?re getting it on the way to go to your friend?s house for dinner so I?m afraid that if I?m closed at that time, then they won?t remember my store.",SBR
3,149,Wine,They won?t come back you know.,SBR
3,150,Wine,They?ll go to the other store down the street.,SBR
3,151,Wine,"So I?m thinking that if we can open at 8:30 in the morning to 8:30 pm,then I guess we could keep it, well, cuz that?s a better time for me in that maybe we can keep it at 71 degrees.",OM
3,152,Grocery,"Okay,that works.",RP
3,153,Grocery,So let?s keep it at 71 and open a little later.,MIN
3,154,Wine,"Hold on,hold on, hold on.",MIN
3,155,Wine,"I think that might,hold on, not work.",RN
3,156,Wine,Because I?m afraid that?well?I?m afraid that it might make it a little too hot in there.,SBR
3,157,Wine,"If we opened at,if we kept it at 67 degrees and we opened at 7:30 to 7:30, I would be willing to kinda make that bargain.",OM
3,158,Wine,"By keeping it colder,my product will be fresher, and maybe they would, people would say, well, that would make people want to come back.",SBR
3,159,Grocery,"I understand your difficulties/ but in order to make profit for myself because I really did some research,and if, if going that way, I probably wouldn?t make much profit.",IN-P/SB-R
3,160,Grocery,"Like,in some cases, I probably would lose money.",SBR
3,161,Grocery,So my bottom line is either/ we open at 7:30 to 7:30 at 69 degrees /or 8:30 to 8:30 at 71 degrees.,IB/ OM/OM
3,162,Wine,"Well,both of those options don?t work very well for me",RN
3,163,Wine,because they make me lose out on both of the things that are important to my business.,SBR
3,164,Wine,"So what I propose is to make some in the middle for both of us,where neither, I mean where you?re losing out some and I?m losing out some but we?re both gaining in certain things.",PC
